id_offer,id_cv,Job relevance,Education,Age,Experience,Skills,Soft-skills,Salary,City,SmartWork,Experience_abroad,Language,score
0.0,0.0,-1.0,-0.1,-0.75,-0.4,0.0,0.0,-0.22999999,0.006485422,-0.5,0.5,0.0,-2.4735146
0.0,1.0,-1.0,-0.2,-0.8,0.1,0.0,0.0,-450.38,0.01,0.5,-0.5,0.0,-452.27
0.0,2.0,-1.0,0.1,-0.5,-0.3,0.0,0.0,-375.1,0.009081851,-0.5,-0.5,0.0,-377.79092
0.0,3.0,-1.0,-0.2,0.05,0.1,0.0,0.0,-25.23,0.007328665,0.5,0.5,0.0,-25.27267
0.0,4.0,-1.0,-0.3,-0.15,-0.4,0.0,0.0,-450.16998,0.007447923,-0.5,0.5,0.0,-452.01254
0.0,5.0,1.0,0.1,0.05,0.1,1.3,0.0,0.01,0.007446,0.5,0.5,0.0,3.567446
0.0,6.0,-1.0,0.1,-0.7,-0.7,0.0,0.0,-100.0,0.0070426217,-0.5,-0.5,0.0,-103.29296
0.0,7.0,-1.0,-0.1,-0.5,-0.7,0.0,0.0,-100.049995,0.007711726,-0.5,-0.5,0.0,-103.342285
0.0,8.0,-1.0,-0.3,-0.35,0.1,0.0,0.0,0.01,0.007493588,-0.5,-0.5,0.0,-2.5325065
0.0,9.0,-1.0,0.1,-0.4,-0.2,0.0,0.0,0.01,0.008310947,0.5,0.5,0.0,-0.4816891
0.0,10.0,-1.0,-0.1,0.05,0.1,0.0,0.0,0.01,0.008253514,-0.5,0.5,0.0,-0.9317465
0.0,11.0,-1.0,-0.3,0.05,0.1,0.0,0.0,-0.04,0.009058784,-0.5,-0.5,0.0,-2.180941
0.0,12.0,-1.0,-0.2,0.05,0.1,0.0,0.0,-375.05,0.0072860685,-0.5,-0.5,0.0,-377.09268
0.0,13.0,-1.0,-0.1,-0.15,-0.7,0.0,0.25,-50.07,0.008883513,0.5,-0.5,0.0,-51.761116
0.0,14.0,-1.0,-0.2,-0.3,-0.5,0.0,0.0,-450.16,0.0085994275,-0.5,-0.5,0.0,-453.1514
0.0,15.0,-1.0,-0.1,-0.75,-0.2,0.0,0.0,-450.12,0.008266353,0.5,-0.5,0.0,-452.1617
0.0,16.0,-1.0,-0.2,-0.6,-0.1,0.0,0.0,0.01,0.0072401064,0.5,0.5,0.0,-0.88276005
0.0,17.0,-1.0,-0.1,0.0,-0.4,0.0,0.0,-80.229996,0.007797846,-0.5,-0.5,0.0,-82.7222
0.0,18.0,-1.0,0.1,-0.85,0.1,0.0,0.0,-5.08,0.007889833,0.5,0.5,0.0,-5.7221103
0.0,19.0,-1.0,0.1,-0.15,0.1,0.0,0.0,-75.13,0.006954734,-0.5,-0.5,0.0,-77.07304
0.0,20.0,-1.0,-0.1,-0.25,0.1,0.0,0.0,-375.16,0.007309906,-0.5,-0.5,0.0,-377.40268
0.0,21.0,-1.0,0.1,-1.0,-0.2,0.0,0.0,0.01,0.0030654594,0.5,-0.5,0.0,-2.0869343
0.0,22.0,-1.0,-0.3,-0.55,-0.6,0.0,0.0,-80.13,0.006889333,-0.5,0.5,0.0,-82.573105
0.0,23.0,-1.0,-0.1,-0.85,-0.3,0.0,0.0,0.01,0.0038317742,0.5,-0.5,0.0,-2.2361681
0.0,24.0,-1.0,-0.2,-1.2,-0.1,0.0,0.0,-25.18,0.0066488152,0.5,0.5,0.0,-26.673351
0.0,25.0,-1.0,-0.2,-0.7,0.1,0.0,0.0,0.01,0.0068617957,0.5,-0.5,0.0,-1.7831382
0.0,26.0,-1.0,-0.2,-0.8,0.1,0.0,0.0,-80.259995,0.006940156,-0.5,0.5,0.0,-82.15305
0.0,27.0,-1.0,0.1,-0.35,0.1,0.0,0.0,-5.06,0.0083681345,0.5,-0.5,0.0,-6.201632
0.0,28.0,-1.0,-0.3,-0.7,0.1,0.0,0.0,0.01,0.0076925554,-0.5,-0.5,0.0,-2.8823073
0.0,29.0,-1.0,-0.3,-0.1,0.1,0.0,0.0,-0.06,0.0077418024,-0.5,-0.5,0.0,-2.3522582
0.0,30.0,-1.0,-0.1,-1.1,0.1,0.7,0.0,0.01,0.009059165,0.5,0.5,0.0,-0.38094068
0.0,31.0,-1.0,-0.3,-1.1,0.1,0.0,0.0,-50.14,0.008087241,-0.5,0.5,0.0,-52.43191
0.0,32.0,-1.0,-0.1,-0.25,0.1,0.0,0.0,-750.13995,0.008074335,-0.5,0.5,0.0,-751.3819
0.0,33.0,-1.0,-0.3,-0.8,0.1,0.0,0.0,-10.219999,0.00833219,-0.5,0.5,0.0,-12.211667
0.0,34.0,-1.0,-0.2,-0.55,0.1,0.0,0.0,-450.25,0.0068962085,-0.5,-0.5,0.0,-452.8931
0.0,35.0,-1.0,-0.2,-0.4,0.1,0.0,0.0,-50.289997,0.0044527277,-0.5,0.5,0.0,-51.785545
0.0,36.0,-1.0,-0.2,-0.85,0.1,0.0,0.0,0.01,0.007532893,-0.5,0.5,0.0,-1.932467
0.0,37.0,-1.0,-0.4,-1.2,0.1,0.0,0.0,-25.029999,0.0076099257,0.5,0.5,0.0,-26.522388
0.0,38.0,-1.0,-0.2,-0.45000002,0.1,0.7,0.0,0.01,0.0069728177,0.5,-0.5,0.0,-0.83302724
0.0,39.0,-1.0,-0.2,-0.55,0.1,0.0,0.0,0.01,0.008391606,-0.5,0.5,0.0,-1.6316085
0.0,40.0,-1.0,-0.2,-1.0,0.1,0.0,0.0,-75.15,0.0061001075,-0.5,-0.5,0.0,-78.2439
0.0,41.0,-1.0,0.1,-0.35,0.1,0.0,0.0,-750.26996,0.0074745407,-0.5,0.5,0.0,-751.41254
0.0,42.0,-1.0,-0.3,-0.05,-0.1,0.0,0.0,-75.1,0.007176147,-0.5,-0.5,0.0,-77.542816
0.0,43.0,-1.0,-0.3,-0.85,0.1,0.0,0.0,-75.11,0.007398351,0.5,0.5,0.0,-76.1526
0.0,44.0,-1.0,-0.2,0.0,0.1,0.0,0.0,-75.08,0.007561125,0.5,0.5,0.0,-75.17244
0.0,45.0,-1.0,-0.2,0.05,-0.3,0.0,0.0,0.01,0.007776746,0.5,0.5,0.0,-0.43222332
0.0,46.0,-1.0,0.1,-0.8,0.1,0.0,0.0,-100.25,0.005409061,0.5,-0.5,0.0,-101.84459
0.0,47.0,-1.0,-0.2,-0.55,-0.6,0.0,0.0,-75.049995,0.0075094774,0.5,0.5,0.0,-76.39249
0.0,48.0,1.0,-0.2,-0.45000002,0.1,0.9,0.5,0.01,0.009154595,0.5,-0.5,0.0,1.8691545
0.0,49.0,-1.0,-0.3,-0.1,-0.6,0.0,0.0,-50.21,0.0076574413,-0.5,0.5,0.0,-52.202343
0.0,50.0,-1.0,-0.3,-1.0500001,-0.4,0.0,0.0,-100.13,0.0065374062,-0.5,-0.5,0.0,-103.87346
