qId,kId,Education,City,Skills,SoftSkills,Age,Language,Certificates,Experience,Salary,SmartWork,Experience_abroad,score,w_score,labels
0,1,0.6,0.60361135,0.0,0.0,1.0,0.16666667,0.6666667,0.0,0.0,0,1,4.168316162132798,0.3182820258756103,2
0,10,0.4,0.73086846,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,2.7962547251483625,-0.0327540046755095,1
0,12,0.4,0.7790198,0.0,0.0,0.42857143,0.5,0.0,0.0,0.0,0,0,1.945513471808588,0.1100257655184414,1
0,16,0.8,0.91659504,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0,0,2.89461530458759,0.2848752923636752,2
0,23,1.0,1.0,0.0,0.0,1.0,0.16666667,0.0,0.0,0.0,0,1,4.170773490527799,0.4281584123308356,2
0,24,0.4,0.7687016,0.33333334,0.0,1.0,0.5,0.0,0.0,0.0,0,1,4.015455656960572,0.0781430784323343,1
0,28,0.6,0.6698194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.367986945957026,0.4031136616674632,2
0,32,0.4,0.6844368,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0,1,4.607505427757461,0.6038379959030127,3
0,47,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4.386519812349794,-0.2211945716691663,0
0,49,0.8,0.7162511,0.0,0.0,1.0,0.0,0.6666667,0.0,0.0,0,0,3.4867885244023142,0.2638899732108637,2
0,54,0.4,0.58211523,0.0,0.0,0.42857143,0.125,0.6666667,0.0,0.0,0,0,2.313108100935528,-0.2194186867181776,0
0,60,0.6,0.65864146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.320064336710161,0.1718325775620035,2
0,65,0.6,0.7472055,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,1,3.6168109841839344,0.360643845089272,2
0,66,0.4,0.88564056,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.103976383396994,0.2396532034301379,2
0,79,0.6,0.6577816,1.0,0.5,1.0,0.5,0.6666667,0.0,0.0,0,0,5.088259254952923,0.9591034178948326,4
0,82,0.4,0.5993121,0.6666667,0.5,0.5714286,0.5,1.0,0.0,0.2,0,1,5.55135352216912,0.2580917430111153,2
0,83,0.4,0.7343078,0.0,0.0,1.0,0.75,0.0,0.0,1.0,0,0,3.920423640752411,0.6460543935863505,3
0,86,0.6,0.5253654,1.0,0.0,1.0,0.0,1.0,0.875,0.0,0,1,6.074084784691274,0.6510299950469536,3
0,91,0.4,0.76526225,0.0,0.0,1.0,0.6666667,0.0,0.0,1.0,0,1,5.061210908426379,0.071356580443705,1
0,93,0.4,0.80911434,0.0,0.0,0.2857143,0.25,0.0,0.0,0.0,0,1,2.1030340148812834,0.0687194318788709,1
0,111,0.4,0.62510747,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0,0,4.970869315893267,0.7094249901807366,3
0,121,0.6,0.6801376,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0,1,4.843582203457904,0.1503135545867206,1
0,122,0.6,1.0,0.0,0.0,1.0,0.125,0.33333334,0.0,0.0,0,0,2.9836429630012606,0.4604603253519793,2
0,125,0.6,0.6431642,0.0,0.0,0.85714287,0.125,0.33333334,0.0,1.0,0,1,4.583430086512104,0.2042386442483005,2
0,137,0.8,0.60189164,0.0,0.5,0.42857143,0.16666667,0.6666667,0.0,1.0,0,1,5.147828080859457,0.5613976543869765,3
0,144,0.6,0.80309546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,3.435691163125614,0.5112405024901348,2
0,148,0.6,0.64144456,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0,0,2.8323072569080385,0.2767198221442158,2
0,149,0.6,0.76698196,0.0,0.0,1.0,0.0,0.6666667,0.0,0.0,0,0,3.0460349733144603,-0.2090945369353217,0
0,159,0.6,0.6483233,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0,0,4.092998268305412,-0.218311610044258,0
0,171,0.8,1.0,0.6666667,0.5,1.0,0.125,0.0,0.0,0.0,0,1,5.202077479683249,0.5400572266829688,2
0,177,0.6,0.6560619,0.0,0.0,0.85714287,0.125,0.0,0.0,0.0,0,0,2.2451047103989232,0.0666668294119842,1
0,178,0.4,0.78675836,0.6666667,0.0,1.0,0.25,1.0,0.0,1.0,0,1,5.901607819539518,0.3104475284734383,2
0,181,0.6,0.6337059,0.33333334,0.5,1.0,0.6666667,0.0,0.0,1.0,0,1,5.523210629726186,0.6713872703814723,3
0,195,0.6,0.6242476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.400834491884438,0.5465808534023766,2
0,197,0.6,0.8650043,0.33333334,0.0,0.42857143,0.0,0.0,0.0,0.0,0,1,3.1537435758751635,0.5760696150887878,3
0,199,0.6,0.56233877,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0,0,3.610548854508207,0.6545818837944635,3
1,4,0.8,0.30266553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.412915549240753,0.2573978579617829,2
1,7,0.8,0.27429062,0.0,0.0,1.0,0.6666667,0.0,0.0,0.0,0,0,2.6041656952074823,0.6389251574226877,3
1,14,1.0,0.25107482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.191544522354381,0.6292936083409144,3
1,16,1.0,0.91229576,0.0,0.33333334,0.0,0.5,0.0,0.0,0.0,0,0,2.887399436066707,0.6760723209077357,3
1,28,1.0,0.2639725,0.0,0.33333334,1.0,0.0,0.0,0.0,0.0,0,1,3.82697250174373,0.326118123071167,2
1,32,0.8,0.2622528,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2.431075048494836,-0.048708227081509,1
1,33,1.0,0.27687016,0.0,0.0,0.42857143,0.0,0.0,0.0,0.0,0,1,2.876738451653136,0.5026841188460596,2
1,37,0.8,0.18400688,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,1,3.5030057134828843,0.2517150485431353,2
1,40,1.0,0.26139295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.6348303233821246,0.4128600226770541,2
1,43,1.0,0.35683578,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0,0,1.4766834369738102,0.483377998538296,2
1,44,1.0,0.6861565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.7334300470425676,0.0363879930103764,1
1,45,0.8,0.89251935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.8231165417629414,0.020878455362102,1
1,49,1.0,0.9346518,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.8285783295845066,0.3001495741161949,2
1,51,1.0,0.27257094,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0,1,3.5758318420246304,0.4596085612602265,2
1,58,0.8,0.2527945,0.0,0.33333334,1.0,0.5,0.0,0.0,0.0,0,1,3.906387060436116,1.089080739420159,4
1,59,1.0,0.57953566,0.0,0.0,0.2857143,0.5,0.0,0.0,0.0,0,0,2.2668890013578933,0.1014220589638472,1
1,61,1.0,0.5253654,0.33333334,0.33333334,0.71428573,0.5,0.0,0.75,1.0,0,1,6.033482472556121,0.566163504444313,3
1,65,1.0,0.33190027,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,1,4.09664844591546,0.4892482167831791,2
1,71,1.0,0.34737748,0.0,0.0,0.42857143,0.5,0.0,0.0,0.0,0,1,3.1767761813969537,0.31519515849063,2
1,73,1.0,0.13585554,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,2.8782542810772256,0.2470355827346382,2
1,74,1.0,0.37403268,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0,1,4.221059871304772,0.5876357626019079,3
1,80,0.8,0.43250215,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,2.642691730182152,0.2897499045122886,2
1,96,1.0,0.79191744,0.0,0.33333334,1.0,0.0,0.0,0.0,0.0,0,0,3.32365128893486,0.1695056239701504,1
1,99,0.8,0.25365433,0.0,0.33333334,1.0,0.0,0.0,0.0,0.0,0,0,2.5227936886014497,0.4218210706357347,2
1,105,1.0,0.82803094,0.33333334,0.33333334,0.0,0.0,0.0,1.0,0.0,0,1,4.541479899899021,0.8739305491520148,3
1,106,1.0,0.16423044,0.0,0.33333334,1.0,0.5,0.0,0.0,0.0,0,1,3.941867376129149,0.3919316277490181,2
1,112,1.0,0.8306105,0.0,0.0,0.5714286,0.0,0.0,0.0,0.0,0,0,2.6431469913632606,0.1034239661281024,1
1,115,0.8,0.36973345,0.0,0.33333334,0.2857143,0.25,0.0,0.0,0.0,0,1,2.928248014684652,-0.1318569583411787,1
1,121,1.0,0.26913157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.415375082848976,-0.3260743909828721,0
1,137,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,1,4.2979972121873296,0.849685579576025,3
1,141,1.0,0.9587274,0.0,0.33333334,1.0,0.5,0.0,0.0,0.0,0,1,4.98594145927684,0.4457243537093882,2
1,150,0.8,0.28374892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,2.695419100138628,0.6962543921979352,3
1,152,1.0,0.5356836,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,3.374335956264019,0.58372587763446,3
1,153,1.0,0.89079964,0.0,0.0,0.85714287,0.0,0.0,0.0,0.0,0,0,2.3579167964633454,0.506835540781379,2
1,158,1.0,0.6749785,0.0,0.0,0.5714286,0.0,0.0,0.0,0.0,0,0,2.014457706982602,0.36124305971645,2
1,177,1.0,0.2416165,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,3.3433593445922467,0.5805414359282899,3
1,181,1.0,1.0,0.0,0.33333334,0.85714287,0.5,0.0,0.0,0.0,0,1,4.746613248316202,0.1450576869644698,1
