qId,kId,relevance,binned_relevance,info,fitness_edu_basic,fitness_edu_bonus,fitness_city,fitness_age,fitness_exp_basic,fitness_exp_bonus,fitness_lang_basic,fitness_lang_lvl_basic,fitness_lang_bonus,fitness_comp_essential,fitness_comp_sim_essential,fitness_comp_optional,fitness_comp_sim_bonus,fitness_know_essential,fitness_know_sim_essential,fitness_know_optional,fitness_know_sim_optional
0,0,55.71016658572805,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,1,63.69997698959325,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,2,53.52576039049249,3,,1,1,0.0,0,0,0,0.5,0.5,0.5,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
0,3,70.45448056401503,4,,1,0,0.0,1,1,0,1.0,1.0,0.5,0.5,0.5,0.0,0.25,0.5,0.25,0.0,0.25
0,4,56.51327715306027,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
0,5,80.20945885399112,5,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,6,78.7114976978363,5,,1,0,0.0,1,1,0,1.0,1.0,0.0,0.25,0.25,1.0,0.0,1.0,0.0,1.0,0.0
0,7,57.24027603842508,3,,1,0,0.0,1,1,0,1.0,0.5,0.5,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
0,8,68.15297059289172,4,,1,0,0.0,1,1,1,0.5,0.5,0.5,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
0,9,67.21159602092283,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,10,60.11028665981085,3,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,11,66.62998169541902,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,12,69.5310998792363,4,,1,0,0.0,1,1,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,13,78.60923374456564,5,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,1.0,0.0
0,14,55.17266131320005,3,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,15,69.28489089759013,4,,1,0,0.0,1,0,0,1.0,0.5,0.0,0.25,0.25,0.6666666666666666,0.25,1.0,0.0,0.0,0.25
0,16,75.19110188331005,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,17,61.65173239768059,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,1.0,0.0,0.3333333333333333,0.25,0.5,0.25,0.0,0.25
0,18,63.916384553980436,4,,1,0,0.0,1,1,1,0.5,0.5,0.0,1.0,0.0,0.3333333333333333,0.25,0.5,0.25,0.0,0.25
0,19,62.6252768448645,4,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0,0.0
0,20,67.14633628942524,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,0.5,0.25,0.0,0.25
0,21,76.18215708229816,4,,1,0,0.0,1,1,1,1.0,0.5,0.0,0.75,0.25,0.0,0.25,1.0,0.0,1.0,0.0
0,22,55.23601949443753,3,,1,0,0.0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,23,53.541603501355056,3,,1,1,0.0,1,1,0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,24,72.80451101745297,4,,1,0,0.0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,1.0,0.0
0,25,66.19585630924249,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,26,66.36627123886748,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,27,44.57642099500163,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,0.75,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,28,67.37726301821706,4,,1,0,0.5,1,1,1,0.5,0.5,0.5,0.75,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,29,63.853081648148574,4,,1,0,0.0,1,1,1,0.5,0.5,1.0,0.75,0.25,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,30,70.5487317850157,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,31,64.98753001954974,4,,1,0,0.0,1,1,0,0.5,0.5,0.5,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,32,75.10542460646838,4,,1,0,0.0,1,1,0,1.0,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,33,76.17620758525419,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,1.0,0.0
0,34,54.63850215503413,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,35,63.224379305757054,4,,1,0,0.0,1,1,1,1.0,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,36,59.30474854709779,3,,1,0,0.0,1,1,0,0.5,0.5,0.0,0.25,0.25,0.0,0.25,1.0,0.0,1.0,0.0
0,37,58.78891079626706,3,,1,0,0.0,1,1,1,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,38,48.34469073721803,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,39,56.66862448863874,3,,1,0,0.0,1,1,1,0.5,0.5,0.0,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.25
0,40,60.495864669272194,3,,1,0,0.0,1,0,0,0.5,0.5,0.5,0.75,0.25,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,41,65.73720588599032,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,42,78.69567570560918,5,,1,0,0.0,1,1,1,0.5,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
0,43,73.90454492300636,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.25,0.25,0.6666666666666666,0.25,1.0,0.0,0.0,0.25
0,44,69.20039467938095,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.5,0.25,1.0,0.0
0,45,68.38112151477401,4,,1,0,0.0,0,1,0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.25,1.0,0.0,0.0,0.25
0,46,53.792489749870924,3,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,47,64.51051888740291,4,,1,0,0.0,0,0,0,1.0,1.0,0.0,0.75,0.25,0.3333333333333333,0.25,0.5,0.5,0.0,0.25
0,48,93.45674841978175,5,,1,0,0.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
0,49,61.94568327810728,3,,1,0,0.0,0,1,0,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,50,52.35672820739187,3,,1,0,0.0,1,1,1,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.5,0.25,0.0,0.25
0,51,73.79188497521473,4,,1,0,0.0,1,1,1,1.0,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,52,64.04247754757395,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,53,69.1387224361235,4,,1,0,0.0,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,54,64.16935641691305,4,,1,0,0.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.25
0,55,79.33332007297474,5,,1,0,0.0,1,1,1,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,56,59.25115628516126,3,,1,0,0.0,1,0,0,1.0,1.0,0.5,1.0,0.0,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,57,59.5460436260192,3,,1,0,0.0,0,1,1,1.0,1.0,0.0,0.5,0.25,0.0,0.25,1.0,0.0,0.0,0.25
0,58,42.39941073415025,2,,1,0,0.0,1,0,0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,59,52.390595316821646,3,,1,0,0.0,1,1,1,1.0,0.5,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25
0,60,72.49855815443264,4,,1,0,0.0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.25,0.5,0.5,0.0,0.25
0,61,66.32935283970407,4,,1,0,0.0,1,1,1,0.5,0.5,0.0,0.5,0.25,0.3333333333333333,0.25,1.0,0.0,0.0,0.25
0,62,33.978662776218485,2,,0,0,0.0,1,1,1,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
0,63,10.787973670998145,0,,0,0,0.0,0,1,0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0,64,27.28025625939809,1,,0,0,0.0,1,0,0,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0,65,20.437326116308327,1,,1,0,0.0,0,0,0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0,66,21.5212991640192,1,,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
0,67,34.62024320168203,2,,1,0,0.0,0,1,1,0.5,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0,68,20.703355574719108,1,,0,0,0.0,0,1,1,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0,69,37.24579163340066,2,,1,0,0.0,0,1,0,0.5,0.5,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
0,70,45.942176279528,2,,1,0,0.0,1,1,1,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0,71,32.11848845992884,2,,0,0,0.0,1,0,0,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
0,72,44.90039544947281,2,,0,0,0.0,0,1,1,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
0,73,48.189760486038935,3,,1,0,0.0,0,1,1,1.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
0,74,25.31904943047165,1,,0,0,0.0,0,1,1,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0,75,26.555407446594458,1,,0,0,0.0,0,1,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
0,76,50.56736322519298,3,,1,0,0.0,0,1,0,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
